cost_item,cost_type,institution,year,qty_or_fte,unit_cost,units
Vehicle lease (incl.fuel and maintenance),materials,CEMML,1,12,1200,$/month
CEMML Field Admin Support,labor,CEMML,1,0.2,90540,$/year (inc. benefits)
CEMML survey tech 1,labor,CEMML,1,1,60360,$/year (inc. benefits)
CEMML survey tech 2,labor,CEMML,1,1,60360,$/year (inc. benefits)
CEMML entomologist,labor,CEMML,1,0.05,135810,$/year (inc. benefits)
Panel traps,materials,UOG,1,1500,40,$/each
Pheromone lures,materials,UOG,1,7800,3.75,$/each
Vehicle maintenance,materials,UOG,1,1,2000,$/per year
Vehicle fuel,materials,UOG,1,1,2000,$/per year
UOG lab tech 1,labor,UOG,1,1,60360,$/per year (inc. benefits)
UOG lab tech 2,labor,UOG,1,1,60360,$/per year (inc. benefits)
UOG survey tech 1,labor,UOG,1,1,60360,$/per year (inc. benefits)
UOG survey tech 2,labor,UOG,1,1,60360,$/per year (inc. benefits)
UOG Field Ops Mgr,labor,UOG,1,0.5,95680,$/per year (inc. benefits)
UOG entomologist,labor,UOG,1,0.05,130000,$/per year (inc. benefits)
UOG insect pathologist,labor,UOG,1,1,83200,$/per year (inc. benefits)
Office Materials and Supplies,materials,CEMML,1,1,1500,$/year
Field Materials and Supplies,materials,CEMML,1,1,5000,$/year
cell phone service for 3 technicians,materials,CEMML,1,1,1440,$/year
vehicle lincensing,materials,CEMML,1,1,1362,$/year
electrical service,materials,CEMML,1,1,2400,$/year
building rental,rent,CEMML,1,1,12000,$/year
Off-island travel (Denver and Tinian),travel,CEMML,1,1,11817,$/year
Laptop computers,materials,CEMML,1,1,2000,$/each
Laptop computers,materials,CEMML,2,1,2000,$/each
GPS Unit,materials,CEMML,1,1,1000,$/each
rent,rent,NCSU,1,1,1000,$/per year
Panel traps,materials,UOG,2,500,40,$/each
Pheromone lures,materials,UOG,2,7800,3.75,$/each
Vehicle maintenance,materials,UOG,2,1,2000,$/per year
Vehicle fuel,materials,UOG,2,1,2000,$/per year
P.I.,labor,NCSU,2,0.05,75265,$/per year
UOG lab tech 1,labor,UOG,2,1,62170,$/per year (inc. benefits)
